Día,Atacante,Concello conquistado,Pertenecía a,Eliminado
1,Terra De Caldelas,Quiroga,Quiroga,Quiroga
2,Santiago,A Barcala,A Barcala,A Barcala
3,Santiago,Xallas,Xallas,Xallas
4,O Carballiño,O Ribeiro,O Ribeiro,O Ribeiro
5,O Sar,Barbanza,Barbanza,Barbanza
6,O Carballiño,Ourense,Ourense,Ourense
7,Santiago,Noia,Noia,Noia
8,Valdeorras,Terra De Trives,Terra De Trives,Terra De Trives
9,A Mariña Occidental,Ortegal,Ortegal,Ortegal
10,Fisterra,Terra De Soneira,Terra De Soneira,Terra De Soneira
11,O Morrazo,Pontevedra,Pontevedra,Pontevedra
12,Ordes,A Coruña,A Coruña,A Coruña
13,Ordes,Betanzos,Betanzos,Betanzos
14,A Fonsagrada,A Mariña Oriental,A Mariña Oriental,A Mariña Oriental
15,Tabeirós-Terra De Montes,Caldas,Caldas,Caldas
16,A Mariña Central,Meira,Meira,Meira
17,Valdeorras,Viana,Viana,Viana
18,Ordes,Bergantiños,Bergantiños,Bergantiños
19,Terra Chá,Eume,Eume,Eume
20,Chantada,A Ulloa,A Ulloa,A Ulloa
21,Arzúa,Terra De Melide,Terra De Melide,Terra De Melide
22,A Paradanta,Terra De Celanova,Terra De Celanova,Terra De Celanova
23,Fisterra,Muros,Muros,Muros
24,Terra De Lemos,Sarria,Sarria,Sarria
25,O Morrazo,O Salnés,O Salnés,O Salnés
26,Allariz-Maceda,A Limia,A Limia,A Limia
27,O Carballiño,Deza,Deza,Deza
28,Fisterra,Bergantiños,Ordes,
29,Lugo,Os Ancares,Os Ancares,Os Ancares
30,Ferrol,Eume,Terra Chá,
31,Terra Chá,Eume,Ferrol,
32,Ordes,Bergantiños,Fisterra,
33,A Mariña Occidental,Ferrol,Ferrol,Ferrol
34,O Morrazo,Vigo,Vigo,Vigo
35,O Carballiño,Arzúa,Arzúa,
36,Terra De Lemos,Chantada,Chantada,
37,Lugo,Terra De Melide,Arzúa,Arzúa
38,Fisterra,Bergantiños,Ordes,
39,Lugo,A Ulloa,Chantada,Chantada
40,O Condado,O Baixo Miño,O Baixo Miño,O Baixo Miño
41,Lugo,Arzúa,O Carballiño,
42,A Fonsagrada,Meira,A Mariña Central,
43,O Carballiño,Arzúa,Lugo,
44,A Mariña Central,A Mariña Occidental,A Mariña Occidental,
45,O Morrazo,Caldas,Tabeirós-Terra De Montes,
46,Santiago,Tabeirós-Terra De Montes,Tabeirós-Terra De Montes,Tabeirós-Terra De Montes
47,O Morrazo,Barbanza,O Sar,
48,Fisterra,A Coruña,Ordes,
49,Allariz-Maceda,Verín,Verín,Verín
50,A Mariña Occidental,Eume,Terra Chá,
51,Valdeorras,Quiroga,Terra De Caldelas,
