Día,Atacante,Concello conquistado,Pertenecía a
1,Ortegal,Eume,Ortegal
2,O Baixo Miño,O Condado,O Baixo Miño
3,Santiago,A Barcala,Santiago
4,Ferrol,Ortegal,Ferrol
5,A Ulloa,Chantada,A Ulloa
6,A Paradanta,O Condado,A Paradanta
7,Caldas,Tabeirós-Terra De Montes,Caldas
8,A Ulloa,Terra De Lemos,A Ulloa
9,O Ribeiro,O Carballiño,O Ribeiro
10,Ortegal,Betanzos,Ortegal
11,Terra De Trives,Valdeorras,Terra De Trives
12,Deza,Arzúa,Deza
13,Sarria,Lugo,Sarria
14,A Paradanta,Vigo,A Paradanta
15,Ourense,Terra De Lemos,Ourense
16,Ortegal,Arzúa,Ortegal
17,A Mariña Occidental,Meira,A Mariña Occidental
18,Terra De Caldelas,A Limia,Terra De Caldelas
19,Noia,Xallas,Noia
20,Os Ancares,Lugo,Os Ancares
21,A Fonsagrada,Os Ancares,A Fonsagrada
22,Quiroga,Terra De Lemos,Quiroga
23,Terra De Celanova,O Ribeiro,Terra De Celanova
24,Bergantiños,Ordes,Bergantiños
25,Terra De Celanova,A Limia,Terra De Celanova
26,Allariz-Maceda,A Limia,Allariz-Maceda
27,Sarria,Lugo,Sarria
28,Bergantiños,Xallas,Bergantiños
29,A Ulloa,Lugo,A Ulloa
30,Caldas,O Carballiño,Caldas
31,Sarria,Chantada,Sarria
32,Verín,Terra De Trives,Verín
33,Terra Chá,Lugo,Terra Chá
34,Viana,Terra De Trives,Viana
35,Ortegal,Terra De Melide,Ortegal
36,Terra De Celanova,Pontevedra,Terra De Celanova
37,O Salnés,Caldas,O Salnés
38,Ourense,O Carballiño,Ourense
39,Viana,Quiroga,Viana
40,Deza,O Carballiño,Deza
41,Terra De Celanova,Ourense,Terra De Celanova
42,Terra De Caldelas,Verín,Terra De Caldelas
43,Deza,Terra De Melide,Deza
44,A Paradanta,Pontevedra,A Paradanta
45,Baixa Limia,A Limia,Baixa Limia
46,Terra De Soneira,Xallas,Terra De Soneira
47,Terra De Caldelas,Viana,Terra De Caldelas
48,O Sar,Santiago,O Sar
49,Terra De Caldelas,Valdeorras,Terra De Caldelas
50,A Mariña Oriental,A Fonsagrada,A Mariña Oriental
51,O Salnés,Barbanza,O Salnés
52,A Mariña Oriental,Meira,A Mariña Oriental
53,Ortegal,Ordes,Ortegal
54,A Mariña Occidental,A Mariña Central,A Mariña Occidental
55,Caldas,O Carballiño,Caldas
56,O Sar,Arzúa,O Sar
57,Quiroga,Ourense,Quiroga
58,Bergantiños,Terra De Soneira,Bergantiños
59,Quiroga,Chantada,Quiroga
60,Caldas,Ourense,Caldas
61,Terra Chá,Os Ancares,Terra Chá
62,Terra De Caldelas,Allariz-Maceda,Terra De Caldelas
63,Caldas,O Ribeiro,Caldas
64,Quiroga,Lugo,Quiroga
65,Sarria,Chantada,Sarria
66,Viana,Verín,Viana
67,O Sar,Xallas,O Sar
68,Santiago,Xallas,Santiago
69,Sarria,Lugo,Sarria
70,Ortegal,Santiago,Ortegal
71,O Morrazo,Pontevedra,O Morrazo
72,Ortegal,Tabeirós-Terra De Montes,Ortegal
73,Noia,Barbanza,Noia
74,Deza,Tabeirós-Terra De Montes,Deza
75,Fisterra,Terra De Soneira,Fisterra
76,O Baixo Miño,O Condado,O Baixo Miño
77,Ortegal,Terra Chá,Ortegal
78,Noia,O Sar,Noia
79,Viana,Os Ancares,Viana
80,O Baixo Miño,A Paradanta,O Baixo Miño
81,Baixa Limia,Terra De Caldelas,Baixa Limia
82,Caldas,Pontevedra,Caldas
83,A Mariña Oriental,A Mariña Central,A Mariña Oriental
84,A Paradanta,O Baixo Miño,A Paradanta
85,O Morrazo,Pontevedra,O Morrazo
86,A Mariña Occidental,Ortegal,A Mariña Occidental
87,O Morrazo,Vigo,O Morrazo
88,A Paradanta,Vigo,A Paradanta
89,A Paradanta,A Paradanta,A Paradanta
90,A Mariña Oriental,A Mariña Occidental,A Mariña Oriental
91,Santiago,Bergantiños,Santiago
92,A Coruña,Betanzos,A Coruña
93,A Mariña Occidental,A Mariña Occidental,A Mariña Occidental
94,Quiroga,Sarria,Quiroga
95,O Salnés,Pontevedra,O Salnés
96,A Ulloa,Terra De Melide,A Ulloa
97,A Paradanta,Terra De Celanova,A Paradanta
98,Santiago,Noia,Santiago
99,Fisterra,Xallas,Fisterra
100,A Mariña Oriental,A Mariña Occidental,A Mariña Oriental
101,Terra De Caldelas,Verín,Terra De Caldelas
102,Ortegal,Betanzos,Ortegal
103,O Baixo Miño,A Paradanta,O Baixo Miño
104,Deza,O Carballiño,Deza
105,Noia,Noia,Noia
106,Caldas,Pontevedra,Caldas
107,A Paradanta,O Condado,A Paradanta
108,Ferrol,Eume,Ferrol
109,Fisterra,Muros,Fisterra
110,O Morrazo,Pontevedra,O Morrazo
111,Santiago,A Coruña,Santiago
112,O Baixo Miño,Vigo,O Baixo Miño
113,Fisterra,Noia,Fisterra
114,Viana,Terra De Caldelas,Viana
115,O Baixo Miño,O Baixo Miño,O Baixo Miño
116,Noia,Tabeirós-Terra De Montes,Noia
117,Ortegal,A Barcala,Ortegal
118,Sarria,Deza,Sarria
119,Quiroga,Ourense,Quiroga
120,Ferrol,Ortegal,Ferrol
121,Quiroga,Chantada,Quiroga
122,O Morrazo,O Carballiño,O Morrazo
123,O Sar,Santiago,O Sar
124,A Paradanta,Ourense,A Paradanta
125,O Morrazo,Deza,O Morrazo
126,Sarria,Os Ancares,Sarria
127,O Morrazo,Chantada,O Morrazo
128,Santiago,Ordes,Santiago
129,Caldas,Vigo,Caldas
130,Baixa Limia,Allariz-Maceda,Baixa Limia
131,Baixa Limia,Terra De Celanova,Baixa Limia
132,Noia,O Carballiño,Noia
133,A Mariña Oriental,Terra Chá,A Mariña Oriental
134,A Mariña Oriental,Eume,A Mariña Oriental
135,O Salnés,Barbanza,O Salnés
136,A Ulloa,Arzúa,A Ulloa
137,O Baixo Miño,O Condado,O Baixo Miño
138,Santiago,Santiago,Santiago
139,O Baixo Miño,Vigo,O Baixo Miño
140,Fisterra,Bergantiños,Fisterra
141,Ortegal,Arzúa,Ortegal
142,Baixa Limia,Verín,Baixa Limia
143,O Baixo Miño,O Ribeiro,O Baixo Miño
144,O Baixo Miño,O Carballiño,O Baixo Miño
145,Quiroga,Lugo,Quiroga
146,O Morrazo,O Salnés,O Morrazo
147,Viana,Sarria,Viana
148,O Morrazo,Lugo,O Morrazo
149,Santiago,O Sar,Santiago
150,O Salnés,O Sar,O Salnés
151,Baixa Limia,A Paradanta,Baixa Limia
152,Ortegal,Xallas,Ortegal
153,Ortegal,A Coruña,Ortegal
154,A Paradanta,Chantada,A Paradanta
155,Ortegal,Muros,Ortegal
156,Viana,Viana,Viana
157,Baixa Limia,O Ribeiro,Baixa Limia
158,A Paradanta,O Ribeiro,A Paradanta
159,Santiago,Xallas,Santiago
160,A Mariña Oriental,Os Ancares,A Mariña Oriental
161,A Paradanta,Terra De Lemos,A Paradanta
162,Baixa Limia,Terra De Caldelas,Baixa Limia
163,Fisterra,A Barcala,Fisterra
164,Baixa Limia,Quiroga,Baixa Limia
165,Santiago,Tabeirós-Terra De Montes,Santiago
166,Baixa Limia,Terra De Trives,Baixa Limia
167,Baixa Limia,Terra De Lemos,Baixa Limia
168,Ferrol,Eume,Ferrol
169,Fisterra,O Sar,Fisterra
170,A Paradanta,Vigo,A Paradanta
171,Fisterra,Muros,Fisterra
172,Ferrol,Betanzos,Ferrol
173,Ortegal,Terra De Melide,Ortegal
174,Baixa Limia,Viana,Baixa Limia
175,Terra De Caldelas,Viana,Terra De Caldelas
176,A Mariña Oriental,Lugo,A Mariña Oriental
177,A Ulloa,Terra De Melide,A Ulloa
178,A Ulloa,Terra Chá,A Ulloa
179,Viana,Os Ancares,Viana
180,Fisterra,Xallas,Fisterra
181,Baixa Limia,O Ribeiro,Baixa Limia
182,O Baixo Miño,Tabeirós-Terra De Montes,O Baixo Miño
183,O Baixo Miño,Pontevedra,O Baixo Miño
184,O Salnés,O Salnés,O Salnés
185,O Salnés,Pontevedra,O Salnés
186,O Baixo Miño,A Paradanta,O Baixo Miño
187,Baixa Limia,Vigo,Baixa Limia
188,A Ulloa,Lugo,A Ulloa
