Día,Atacante,Concello conquistado,Pertenecía a,Eliminado
1,Arzúa,Terra De Melide,Terra De Melide,Terra De Melide
2,Terra De Trives,Quiroga,Quiroga,Quiroga
3,Deza,Santiago,Santiago,Santiago
4,O Baixo Miño,Vigo,Vigo,Vigo
5,A Mariña Occidental,Ortegal,Ortegal,Ortegal
6,Arzúa,Betanzos,Betanzos,Betanzos
7,Terra De Lemos,Chantada,Chantada,Chantada
8,Bergantiños,A Coruña,A Coruña,A Coruña
9,Eume,Terra Chá,Terra Chá,Terra Chá
10,Sarria,Lugo,Lugo,Lugo
11,A Fonsagrada,A Mariña Oriental,A Mariña Oriental,A Mariña Oriental
12,A Paradanta,O Ribeiro,O Ribeiro,O Ribeiro
13,A Limia,Verín,Verín,Verín
14,Ordes,Xallas,Xallas,Xallas
15,Ferrol,Eume,Eume,
16,Viana,Valdeorras,Valdeorras,Valdeorras
17,Terra De Trives,Os Ancares,Os Ancares,Os Ancares
18,Allariz-Maceda,Terra De Caldelas,Terra De Caldelas,Terra De Caldelas
19,Noia,A Barcala,A Barcala,A Barcala
20,Noia,Barbanza,Barbanza,Barbanza
21,Meira,A Mariña Central,A Mariña Central,A Mariña Central
22,O Salnés,Caldas,Caldas,Caldas
23,Allariz-Maceda,Ourense,Ourense,Ourense
24,Terra De Soneira,Fisterra,Fisterra,Fisterra
25,O Carballiño,Tabeirós-Terra De Montes,Tabeirós-Terra De Montes,Tabeirós-Terra De Montes
26,Deza,O Sar,O Sar,O Sar
27,A Limia,Terra De Celanova,Terra De Celanova,Terra De Celanova
28,O Salnés,Pontevedra,Pontevedra,Pontevedra
29,O Morrazo,Pontevedra,O Salnés,
30,Eume,Eume,Ferrol,
31,Terra De Trives,A Fonsagrada,A Fonsagrada,
32,Ferrol,Eume,Eume,
33,Bergantiños,Ordes,Ordes,
34,Terra De Trives,A Mariña Oriental,A Fonsagrada,A Fonsagrada
35,O Carballiño,O Sar,Deza,
36,O Salnés,Barbanza,Noia,
37,Deza,Xallas,Ordes,Ordes
38,O Condado,A Paradanta,A Paradanta,
39,Muros,Fisterra,Terra De Soneira,
40,Terra De Soneira,Fisterra,Muros,
41,A Ulloa,Lugo,Sarria,
42,A Mariña Occidental,Terra Chá,Eume,Eume
43,A Limia,Baixa Limia,Baixa Limia,Baixa Limia
44,Bergantiños,Xallas,Deza,
45,O Carballiño,O Ribeiro,A Paradanta,A Paradanta
46,Terra De Trives,Sarria,Sarria,Sarria
47,A Ulloa,Chantada,Terra De Lemos,
48,Terra De Soneira,Muros,Muros,Muros
49,Terra De Trives,Terra De Lemos,Terra De Lemos,Terra De Lemos
50,O Baixo Miño,O Ribeiro,O Carballiño,
51,A Ulloa,Deza,Deza,
52,Arzúa,Santiago,Deza,Deza
53,Terra De Soneira,Noia,Noia,
54,A Limia,Terra De Trives,Terra De Trives,
55,Meira,A Mariña Oriental,Terra De Trives,
56,Allariz-Maceda,O Carballiño,O Carballiño,
57,Bergantiños,A Barcala,Noia,Noia
58,Allariz-Maceda,O Ribeiro,O Baixo Miño,
59,Ferrol,Terra Chá,A Mariña Occidental,
60,O Baixo Miño,A Paradanta,O Condado,
61,Ferrol,Ortegal,A Mariña Occidental,
62,Meira,A Mariña Occidental,A Mariña Occidental,A Mariña Occidental
63,Terra De Trives,Valdeorras,Viana,
64,A Limia,Viana,Viana,Viana
65,A Ulloa,Santiago,Arzúa,
66,Meira,Terra Chá,Ferrol,
67,Meira,A Fonsagrada,Terra De Trives,
68,O Condado,A Paradanta,O Baixo Miño,
69,Ferrol,Betanzos,Arzúa,
70,Meira,Betanzos,Ferrol,
71,Ferrol,Betanzos,Meira,
72,Terra De Trives,A Fonsagrada,Meira,
73,A Limia,Valdeorras,Terra De Trives,
74,A Limia,A Paradanta,O Condado,
75,Bergantiños,Santiago,A Ulloa,
76,O Condado,A Paradanta,A Limia,
77,Ferrol,Arzúa,Arzúa,
78,O Salnés,O Sar,O Carballiño,
79,A Ulloa,Terra De Melide,Arzúa,Arzúa
80,Meira,A Fonsagrada,Terra De Trives,
81,O Morrazo,Tabeirós-Terra De Montes,O Carballiño,O Carballiño
82,A Ulloa,Arzúa,Ferrol,
83,Terra De Soneira,A Barcala,Bergantiños,
84,Ferrol,A Coruña,Bergantiños,
85,Terra De Soneira,Santiago,Bergantiños,
86,Ferrol,Bergantiños,Bergantiños,
87,Ferrol,Ordes,Bergantiños,
88,Terra De Soneira,Xallas,Bergantiños,Bergantiños
89,Meira,Ortegal,Ferrol,
90,Allariz-Maceda,Tabeirós-Terra De Montes,O Morrazo,
91,Ferrol,Ortegal,Meira,
92,A Ulloa,Tabeirós-Terra De Montes,Allariz-Maceda,
93,O Condado,Vigo,O Baixo Miño,
94,A Limia,Terra De Caldelas,Allariz-Maceda,
95,Terra De Trives,A Fonsagrada,Meira,
96,O Salnés,Tabeirós-Terra De Montes,A Ulloa,
97,A Limia,Allariz-Maceda,Allariz-Maceda,
98,Meira,A Fonsagrada,Terra De Trives,
99,O Baixo Miño,Vigo,O Condado,
100,A Limia,A Paradanta,O Condado,
101,A Ulloa,O Carballiño,Allariz-Maceda,
102,O Salnés,Pontevedra,O Morrazo,
103,Allariz-Maceda,A Paradanta,A Limia,
104,Ferrol,Arzúa,A Ulloa,
105,O Baixo Miño,O Condado,O Condado,O Condado
106,O Morrazo,Pontevedra,O Salnés,
107,Terra De Trives,Ourense,Allariz-Maceda,
108,A Limia,Ourense,Terra De Trives,
109,Terra De Soneira,Arzúa,Ferrol,
110,O Morrazo,O Ribeiro,Allariz-Maceda,
111,O Morrazo,A Paradanta,Allariz-Maceda,Allariz-Maceda
112,Ferrol,Arzúa,Terra De Soneira,
113,Terra De Trives,A Fonsagrada,Meira,
114,A Ulloa,A Fonsagrada,Terra De Trives,
115,A Limia,A Paradanta,O Morrazo,
116,A Ulloa,O Ribeiro,O Morrazo,
117,Ferrol,Terra De Soneira,Terra De Soneira,
118,O Morrazo,O Ribeiro,A Ulloa,
119,O Salnés,Pontevedra,O Morrazo,
120,O Salnés,O Ribeiro,O Morrazo,
121,O Salnés,O Morrazo,O Morrazo,O Morrazo
122,A Ulloa,O Ribeiro,O Salnés,
123,O Salnés,O Ribeiro,A Ulloa,
124,Terra De Trives,A Fonsagrada,A Ulloa,
125,Terra De Trives,A Mariña Oriental,Meira,
126,Terra De Soneira,Terra De Soneira,Ferrol,
127,A Ulloa,O Ribeiro,O Salnés,
128,Meira,A Mariña Oriental,Terra De Trives,
129,A Limia,O Ribeiro,A Ulloa,
130,Ferrol,Terra De Soneira,Terra De Soneira,
131,Terra De Trives,A Mariña Oriental,Meira,
132,O Salnés,O Carballiño,A Ulloa,
133,Ferrol,Fisterra,Terra De Soneira,
134,Ferrol,Muros,Terra De Soneira,
135,O Salnés,Vigo,O Baixo Miño,
136,A Limia,Vigo,O Salnés,
137,O Salnés,Vigo,A Limia,
138,Ferrol,Terra De Melide,A Ulloa,
139,A Limia,Vigo,O Salnés,
140,Ferrol,Deza,A Ulloa,
141,A Ulloa,Deza,Ferrol,
142,O Salnés,Deza,A Ulloa,
143,O Salnés,Terra De Melide,Ferrol,
144,O Baixo Miño,Vigo,A Limia,
145,A Ulloa,Terra De Melide,O Salnés,
146,Terra De Trives,Chantada,A Ulloa,
147,A Limia,Chantada,Terra De Trives,
148,Ferrol,Terra De Melide,A Ulloa,
149,A Limia,A Ulloa,A Ulloa,
150,Terra De Soneira,Muros,Ferrol,
151,Terra De Soneira,Fisterra,Ferrol,
152,O Salnés,A Ulloa,A Limia,
153,Terra De Soneira,Terra De Soneira,Ferrol,
154,A Limia,Lugo,A Ulloa,A Ulloa
155,Meira,Lugo,A Limia,
156,Terra De Soneira,Bergantiños,Ferrol,
157,Ferrol,A Ulloa,O Salnés,
