Día,Atacante,Comarca conquistada,Pertenecía a,Eliminado
1,O Morrazo,Pontevedra,Pontevedra,Pontevedra
2,O Sar,Barbanza,Barbanza,Barbanza
3,O Ribeiro,O Carballiño,O Carballiño,O Carballiño
4,Betanzos,A Coruña,A Coruña,A Coruña
5,O Baixo Miño,Vigo,Vigo,Vigo
6,O Baixo Miño,A Paradanta,A Paradanta,A Paradanta
7,Ordes,Arzúa,Arzúa,Arzúa
8,O Morrazo,Caldas,Caldas,Caldas
9,O Condado,A Paradanta,O Baixo Miño,
10,A Barcala,Santiago,Santiago,Santiago
11,Betanzos,Bergantiños,Bergantiños,Bergantiños
12,Muros,Fisterra,Fisterra,Fisterra
